day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
08,6.0,2024.0,28.0,72.0,11.0,4.2,71.2,7.2,19.8,2.6,9.8,3.5,not fire,Jammu & Kashmir
09,6.0,2024.0,27.0,75.0,10.0,5.5,68.5,6.5,17.5,2.2,8.5,2.8,not fire,Jammu & Kashmir
10,6.0,2024.0,29.0,70.0,11.0,3.5,73.8,7.8,21.5,2.9,10.8,4.2,not fire,Jammu & Kashmir
11,6.0,2024.0,31.0,62.0,13.0,1.8,77.2,9.5,25.8,3.8,13.8,6.2,fire,Jammu & Kashmir
12,6.0,2024.0,33.0,55.0,15.0,0.8,81.5,11.2,30.2,4.7,17.2,8.8,fire,Jammu & Kashmir
13,6.0,2024.0,35.0,50.0,17.0,0.2,85.8,13.2,35.5,5.6,20.2,10.8,fire,Jammu & Kashmir
14,6.0,2024.0,37.0,45.0,19.0,0.0,89.2,15.2,40.8,6.5,23.5,12.8,fire,Jammu & Kashmir
15,6.0,2024.0,36.0,42.0,20.0,0.0,90.5,16.2,43.5,7.2,26.2,14.2,fire,Jammu & Kashmir
01,7.0,2024.0,36.0,55.0,18.0,0.0,89.5,15.8,42.8,6.8,24.2,13.5,fire,Sikkim
02,7.0,2024.0,37.0,52.0,20.0,0.0,90.8,16.8,45.5,7.5,26.8,15.2,fire,Sikkim
03,7.0,2024.0,35.0,58.0,16.0,0.2,87.2,14.2,39.2,6.0,22.5,11.8,fire,Sikkim
04,7.0,2024.0,33.0,65.0,14.0,0.8,83.5,12.2,34.5,5.0,19.2,9.5,fire,Sikkim
05,7.0,2024.0,31.0,72.0,12.0,2.5,78.8,10.2,28.8,4.0,15.5,6.8,fire,Sikkim
06,7.0,2024.0,29.0,78.0,10.0,4.8,74.2,8.5,23.5,3.2,12.2,4.8,not fire,Sikkim
07,7.0,2024.0,28.0,82.0,9.0,6.5,70.5,7.2,19.8,2.6,9.8,3.5,not fire,Sikkim
08,7.0,2024.0,27.0,85.0,8.0,8.2,67.8,6.2,17.2,2.2,8.2,2.5,not fire,Sikkim
09,7.0,2024.0,28.0,82.0,9.0,6.0,69.5,6.8,18.5,2.4,8.8,2.8,not fire,Sikkim
10,7.0,2024.0,30.0,75.0,11.0,3.5,74.8,8.8,22.8,3.5,12.5,5.2,fire,Sikkim
11,7.0,2024.0,32.0,68.0,13.0,1.8,79.2,10.5,27.2,4.2,15.2,7.2,fire,Sikkim
12,7.0,2024.0,34.0,62.0,15.0,0.8,83.5,12.2,32.5,5.2,18.8,9.5,fire,Sikkim
13,7.0,2024.0,35.0,58.0,16.0,0.2,86.2,13.8,36.8,5.8,21.5,11.2,fire,Sikkim
14,7.0,2024.0,36.0,55.0,17.0,0.0,88.5,14.8,40.2,6.5,23.8,12.8,fire,Sikkim
15,7.0,2024.0,34.0,60.0,15.0,0.5,85.2,13.2,35.5,5.5,20.2,10.5,fire,Sikkim
01,8.0,2024.0,34.0,60.0,16.0,0.0,87.5,14.5,38.8,6.2,22.5,12.5,fire,Assam
02,8.0,2024.0,35.0,58.0,18.0,0.0,89.2,15.5,41.5,6.8,24.8,14.2,fire,Assam
03,8.0,2024.0,33.0,65.0,14.0,0.3,85.8,13.2,35.2,5.5,20.2,10.8,fire,Assam
04,8.0,2024.0,31.0,72.0,12.0,1.2,82.2,11.5,30.8,4.5,17.5,8.5,fire,Assam
05,8.0,2024.0,29.0,78.0,10.0,2.8,78.5,9.8,26.2,3.8,14.8,6.2,fire,Assam
06,8.0,2024.0,28.0,82.0,9.0,4.5,75.2,8.2,22.5,3.0,12.2,4.8,not fire,Assam
07,8.0,2024.0,27.0,85.0,8.0,6.8,71.8,7.0,19.2,2.5,9.8,3.5,not fire,Assam
08,8.0,2024.0,28.0,82.0,9.0,5.2,73.5,7.5,20.8,2.8,11.2,4.2,not fire,Assam
09,8.0,2024.0,30.0,75.0,11.0,3.0,77.8,9.2,25.2,3.8,14.5,6.5,fire,Assam
10,8.0,2024.0,32.0,68.0,13.0,1.5,81.5,10.8,29.8,4.8,17.2,8.8,fire,Assam
11,8.0,2024.0,33.0,62.0,15.0,0.8,84.2,12.2,33.5,5.5,19.8,10.5,fire,Assam
12,8.0,2024.0,34.0,58.0,16.0,0.2,86.8,13.5,36.8,6.0,21.8,11.8,fire,Assam
13,8.0,2024.0,35.0,55.0,17.0,0.0,88.5,14.5,39.5,6.5,23.8,13.2,fire,Assam
14,8.0,2024.0,33.0,60.0,15.0,0.6,85.2,13.0,35.2,5.3,20.5,10.2,fire,Assam
15,8.0,2024.0,31.0,65.0,13.0,1.8,81.8,11.2,30.5,4.2,17.2,8.5,fire,Assam
01,9.0,2024.0,32.0,65.0,14.0,0.0,86.5,13.8,37.2,5.8,21.5,11.8,fire,Odisha
02,9.0,2024.0,33.0,62.0,16.0,0.0,88.2,14.8,40.5,6.5,24.2,13.5,fire,Odisha
03,9.0,2024.0,31.0,68.0,13.0,0.3,84.5,12.5,34.2,5.0,19.5,10.2,fire,Odisha
04,9.0,2024.0,29.0,75.0,11.0,1.5,80.8,10.8,29.8,4.2,16.8,8.2,fire,Odisha
05,9.0,2024.0,28.0,80.0,10.0,3.2,77.2,9.2,25.5,3.5,14.2,6.2,fire,Odisha
06,9.0,2024.0,27.0,82.0,9.0,5.0,73.8,8.0,21.8,2.8,11.8,4.5,not fire,Odisha
07,9.0,2024.0,26.0,85.0,8.0,7.2,70.5,7.0,18.5,2.2,9.5,3.2,not fire,Odisha
08,9.0,2024.0,27.0,82.0,9.0,5.8,72.2,7.5,19.8,2.6,10.8,3.8,not fire,Odisha
09,9.0,2024.0,28.0,78.0,10.0,4.0,75.5,8.5,22.5,3.2,13.2,5.2,fire,Odisha
10,9.0,2024.0,30.0,72.0,12.0,2.2,79.2,10.2,27.2,4.0,15.8,7.2,fire,Odisha
11,9.0,2024.0,31.0,68.0,13.0,1.0,82.5,11.5,31.2,4.8,18.2,9.5,fire,Odisha
12,9.0,2024.0,32.0,65.0,14.0,0.5,85.2,12.8,34.8,5.5,20.8,11.2,fire,Odisha
13,9.0,2024.0,33.0,62.0,15.0,0.0,87.2,13.8,37.5,6.0,22.8,12.5,fire,Odisha
14,9.0,2024.0,31.0,68.0,13.0,0.8,84.0,12.2,33.2,5.2,19.5,10.2,fire,Odisha
15,9.0,2024.0,29.0,72.0,11.0,2.0,80.5,10.5,28.5,4.0,16.8,8.0,fire,Odisha
01,10.0,2024.0,30.0,70.0,12.0,0.0,85.2,13.2,36.5,5.5,20.8,11.2,fire,Maharashtra
02,10.0,2024.0,31.0,68.0,14.0,0.0,86.8,14.2,39.2,6.2,23.2,12.8,fire,Maharashtra
03,10.0,2024.0,29.0,75.0,11.0,0.5,83.2,12.0,33.8,4.8,19.5,10.2,fire,Maharashtra
04,10.0,2024.0,28.0,80.0,10.0,1.8,80.5,10.8,30.2,4.0,17.2,8.5,fire,Maharashtra
05,10.0,2024.0,27.0,82.0,9.0,3.5,77.8,9.5,26.8,3.2,14.8,6.2,fire,Maharashtra
06,10.0,2024.0,26.0,85.0,8.0,5.2,74.5,8.2,23.2,2.6,12.2,4.8,not fire,Maharashtra
07,10.0,2024.0,25.0,88.0,7.0,7.5,71.2,7.0,19.8,2.2,10.2,3.5,not fire,Maharashtra
08,10.0,2024.0,26.0,85.0,8.0,6.0,72.8,7.5,21.2,2.5,11.2,4.0,not fire,Maharashtra
09,10.0,2024.0,27.0,82.0,9.0,4.2,75.8,8.5,24.5,3.2,13.5,5.5,fire,Maharashtra
10,10.0,2024.0,28.0,78.0,10.0,2.5,79.2,9.8,27.8,3.8,15.8,7.2,fire,Maharashtra
11,10.0,2024.0,29.0,75.0,11.0,1.2,82.5,11.0,31.2,4.5,18.2,9.2,fire,Maharashtra
12,10.0,2024.0,30.0,72.0,12.0,0.6,84.8,12.2,34.5,5.2,20.5,10.8,fire,Maharashtra
13,10.0,2024.0,31.0,70.0,13.0,0.0,86.5,13.5,37.2,5.8,22.8,12.2,fire,Maharashtra
14,10.0,2024.0,29.0,75.0,11.0,0.8,83.2,12.0,33.5,4.8,19.8,10.0,fire,Maharashtra
15,10.0,2024.0,27.0,80.0,10.0,2.2,80.5,10.5,28.8,4.0,16.8,8.2,fire,Maharashtra
01,11.0,2024.0,28.0,75.0,10.0,0.0,84.2,12.8,35.2,5.2,20.2,10.8,fire,Karnataka
02,11.0,2024.0,29.0,72.0,12.0,0.0,85.8,13.8,38.2,5.8,22.8,12.5,fire,Karnataka
03,11.0,2024.0,27.0,78.0,10.0,0.5,82.5,11.5,32.8,4.5,18.5,9.5,fire,Karnataka
04,11.0,2024.0,26.0,82.0,9.0,1.8,79.8,10.2,29.5,3.8,16.2,7.8,fire,Karnataka
05,11.0,2024.0,25.0,85.0,8.0,3.5,77.2,9.0,26.2,3.0,14.2,6.0,fire,Karnataka
06,11.0,2024.0,24.0,88.0,7.0,5.5,74.5,7.8,22.8,2.5,11.8,4.5,not fire,Karnataka
07,11.0,2024.0,23.0,90.0,6.0,7.8,71.8,6.8,19.5,2.0,10.0,3.2,not fire,Karnataka
08,11.0,2024.0,24.0,88.0,7.0,6.5,73.2,7.2,21.2,2.2,11.2,3.8,not fire,Karnataka
09,11.0,2024.0,25.0,85.0,8.0,4.8,75.8,8.2,24.2,2.8,13.2,5.2,fire,Karnataka
10,11.0,2024.0,26.0,82.0,9.0,3.0,78.8,9.2,27.5,3.5,15.2,6.8,fire,Karnataka
11,11.0,2024.0,27.0,78.0,10.0,1.5,81.5,10.5,30.8,4.2,17.8,8.8,fire,Karnataka
12,11.0,2024.0,28.0,75.0,11.0,0.8,83.8,11.8,34.2,5.0,20.2,10.5,fire,Karnataka
13,11.0,2024.0,29.0,72.0,12.0,0.2,85.5,12.8,36.8,5.5,22.2,11.8,fire,Karnataka
14,11.0,2024.0,27.0,78.0,10.0,1.0,82.2,11.2,32.5,4.5,18.8,9.8,fire,Karnataka
15,11.0,2024.0,25.0,82.0,9.0,2.5,79.5,10.0,28.8,3.8,16.2,7.8,fire,Karnataka
01,12.0,2024.0,26.0,80.0,9.0,0.0,83.5,12.5,34.8,5.0,21.2,11.2,fire,Kerala
02,12.0,2024.0,27.0,78.0,10.0,0.0,85.2,13.5,37.5,5.5,23.8,12.8,fire,Kerala
03,12.0,2024.0,25.0,82.0,8.0,0.5,81.8,11.2,32.2,4.2,19.5,10.0,fire,Kerala
04,12.0,2024.0,24.0,85.0,7.0,1.8,79.2,10.0,29.2,3.5,17.2,8.2,fire,Kerala
05,12.0,2024.0,23.0,88.0,6.0,3.5,76.8,8.8,26.2,2.8,15.2,6.5,fire,Kerala
06,12.0,2024.0,22.0,90.0,5.0,5.8,74.2,7.5,22.8,2.2,12.5,4.8,not fire,Kerala
07,12.0,2024.0,21.0,92.0,4.0,8.2,71.5,6.5,19.5,1.8,10.8,3.5,not fire,Kerala
08,12.0,2024.0,22.0,90.0,5.0,7.0,72.8,7.0,21.2,2.0,11.8,4.2,not fire,Kerala
09,12.0,2024.0,23.0,88.0,6.0,5.2,74.8,7.8,24.2,2.5,13.8,5.5,fire,Kerala
10,12.0,2024.0,24.0,85.0,7.0,3.5,77.2,8.8,27.2,3.2,16.2,7.2,fire,Kerala
11,12.0,2024.0,25.0,82.0,8.0,2.0,79.8,10.0,30.5,4.0,18.5,8.8,fire,Kerala
12,12.0,2024.0,26.0,80.0,9.0,0.8,82.5,11.2,33.8,4.8,20.8,10.5,fire,Kerala
13,12.0,2024.0,27.0,78.0,10.0,0.2,84.8,12.2,36.5,5.2,22.8,11.8,fire,Kerala
14,12.0,2024.0,25.0,82.0,8.0,1.2,81.2,10.5,31.8,4.2,18.8,9.8,fire,Kerala
15,12.0,2024.0,23.0,85.0,7.0,2.8,78.5,9.5,28.2,3.5,16.2,7.8,fire,Kerala
01,1.0,2024.0,25.0,75.0,8.0,0.0,82.2,11.8,33.5,4.8,20.2,10.5,fire,Madhya Pradesh
02,1.0,2024.0,26.0,72.0,10.0,0.0,84.5,12.8,36.8,5.5,23.2,12.2,fire,Madhya Pradesh
03,1.0,2024.0,24.0,78.0,8.0,0.5,80.8,10.5,31.2,4.2,18.8,9.5,fire,Madhya Pradesh
04,1.0,2024.0,23.0,82.0,7.0,1.8,78.2,9.2,28.2,3.5,16.5,8.0,fire,Madhya Pradesh
05,1.0,2024.0,22.0,85.0,6.0,3.5,75.5,8.0,25.2,2.8,14.2,6.5,fire,Madhya Pradesh
06,1.0,2024.0,21.0,88.0,5.0,5.8,72.8,6.8,22.0,2.2,12.0,4.8,not fire,Madhya Pradesh
07,1.0,2024.0,20.0,90.0,4.0,8.0,70.2,6.0,19.2,1.8,10.5,3.5,not fire,Madhya Pradesh
08,1.0,2024.0,21.0,88.0,5.0,7.0,71.5,6.5,21.2,2.0,11.5,4.2,not fire,Madhya Pradesh
09,1.0,2024.0,22.0,85.0,6.0,5.2,73.8,7.5,24.2,2.5,13.8,5.5,fire,Madhya Pradesh
10,1.0,2024.0,23.0,82.0,7.0,3.5,76.8,8.8,27.5,3.2,16.5,7.2,fire,Madhya Pradesh
11,1.0,2024.0,24.0,80.0,8.0,2.0,79.5,10.0,30.8,4.0,18.8,8.8,fire,Madhya Pradesh
12,1.0,2024.0,25.0,78.0,9.0,0.8,82.2,11.2,34.2,4.8,21.2,10.5,fire,Madhya Pradesh
13,1.0,2024.0,26.0,75.0,10.0,0.2,84.5,12.2,37.2,5.2,23.5,12.0,fire,Madhya Pradesh
14,1.0,2024.0,24.0,80.0,8.0,1.2,81.0,10.5,32.2,4.2,19.2,9.5,fire,Madhya Pradesh
15,1.0,2024.0,22.0,85.0,6.0,2.8,78.2,9.2,28.5,3.5,16.5,7.8,fire,Madhya Pradesh
01,2.0,2024.0,27.0,70.0,11.0,0.0,85.8,13.5,38.2,5.8,24.2,13.2,fire,Chhattisgarh
02,2.0,2024.0,28.0,68.0,12.0,0.0,87.5,14.5,41.5,6.5,27.2,15.0,fire,Chhattisgarh
03,2.0,2024.0,26.0,74.0,10.0,0.5,84.2,12.2,35.8,5.0,21.5,11.2,fire,Chhattisgarh
04,2.0,2024.0,25.0,78.0,9.0,1.8,81.5,10.8,32.2,4.2,19.0,9.5,fire,Chhattisgarh
05,2.0,2024.0,24.0,82.0,8.0,3.5,78.8,9.5,28.8,3.5,16.8,7.8,fire,Chhattisgarh
06,2.0,2024.0,23.0,85.0,7.0,5.5,75.2,8.2,25.2,2.8,14.0,6.0,fire,Chhattisgarh
07,2.0,2024.0,22.0,88.0,6.0,7.8,72.5,7.0,21.8,2.2,11.8,4.5,not fire,Chhattisgarh
08,2.0,2024.0,21.0,90.0,5.0,9.5,70.0,6.2,18.8,1.8,10.0,3.5,not fire,Chhattisgarh
09,2.0,2024.0,22.0,88.0,6.0,8.0,71.5,6.8,20.5,2.0,11.5,4.2,not fire,Chhattisgarh
10,2.0,2024.0,23.0,85.0,7.0,6.0,74.2,7.8,23.8,2.5,13.8,5.5,fire,Chhattisgarh
11,2.0,2024.0,24.0,82.0,8.0,4.2,77.2,8.8,27.2,3.2,16.5,7.2,fire,Chhattisgarh
12,2.0,2024.0,25.0,80.0,9.0,2.5,80.2,10.0,30.8,4.0,18.8,8.8,fire,Chhattisgarh
13,2.0,2024.0,26.0,78.0,10.0,1.2,82.8,11.2,34.5,4.8,21.5,10.5,fire,Chhattisgarh
14,2.0,2024.0,27.0,75.0,11.0,0.5,85.2,12.5,37.8,5.5,24.2,12.2,fire,Chhattisgarh
15,2.0,2024.0,25.0,80.0,9.0,2.0,81.8,10.8,32.5,4.2,19.8,9.5,fire,Chhattisgarh
01,3.0,2024.0,30.0,65.0,14.0,0.0,87.2,14.2,40.2,6.2,25.5,14.0,fire,Tamil Nadu
02,3.0,2024.0,31.0,62.0,16.0,0.0,89.2,15.5,43.8,7.0,28.2,15.8,fire,Tamil Nadu
03,3.0,2024.0,29.0,68.0,13.0,0.5,85.5,13.0,37.2,5.5,22.8,12.2,fire,Tamil Nadu
04,3.0,2024.0,28.0,72.0,12.0,1.8,82.8,11.5,33.5,4.5,19.8,10.0,fire,Tamil Nadu
05,3.0,2024.0,27.0,75.0,11.0,3.5,79.5,10.2,30.2,3.8,17.2,8.2,fire,Tamil Nadu
06,3.0,2024.0,26.0,78.0,10.0,5.5,76.2,8.8,26.8,3.0,14.8,6.2,fire,Tamil Nadu
07,3.0,2024.0,25.0,82.0,9.0,7.8,73.5,7.5,23.2,2.4,12.5,4.8,not fire,Tamil Nadu
08,3.0,2024.0,24.0,85.0,8.0,10.0,70.8,6.5,19.8,2.0,10.8,3.5,not fire,Tamil Nadu
09,3.0,2024.0,25.0,82.0,9.0,8.5,72.2,7.0,21.5,2.2,11.8,4.2,not fire,Tamil Nadu
10,3.0,2024.0,26.0,78.0,10.0,6.5,75.0,8.2,25.2,2.8,14.2,5.8,fire,Tamil Nadu
11,3.0,2024.0,27.0,75.0,11.0,4.5,77.8,9.5,28.5,3.5,16.8,7.5,fire,Tamil Nadu
12,3.0,2024.0,28.0,72.0,12.0,2.8,80.8,10.8,32.2,4.2,19.5,9.2,fire,Tamil Nadu
13,3.0,2024.0,29.0,70.0,13.0,1.5,83.5,12.0,35.8,5.0,22.0,11.0,fire,Tamil Nadu
14,3.0,2024.0,30.0,68.0,14.0,0.8,86.2,13.2,39.2,5.5,24.5,12.5,fire,Tamil Nadu
15,3.0,2024.0,28.0,72.0,12.0,2.2,81.8,11.2,33.8,4.5,19.8,10.0,fire,Tamil Nadu
01,7.0,2024.0,25.0,95.0,8.0,25.5,45.2,3.2,8.5,0.8,4.2,0.8,not fire,Mumbai
02,7.0,2024.0,26.0,92.0,10.0,22.8,48.5,3.8,9.2,1.0,4.8,1.0,not fire,Mumbai
03,7.0,2024.0,24.0,98.0,7.0,28.5,42.8,2.8,7.5,0.6,3.8,0.6,not fire,Mumbai
04,7.0,2024.0,23.0,95.0,6.0,30.2,40.5,2.5,6.8,0.5,3.5,0.5,not fire,Mumbai
05,7.0,2024.0,25.0,93.0,9.0,24.5,46.2,3.5,8.8,0.9,4.5,0.9,not fire,Mumbai
01,8.0,2024.0,26.0,90.0,12.0,18.5,52.8,4.2,10.5,1.2,5.2,1.2,not fire,Kolkata
02,8.0,2024.0,27.0,88.0,14.0,15.2,55.5,4.8,11.8,1.5,5.8,1.5,not fire,Kolkata
03,8.0,2024.0,25.0,92.0,10.0,20.8,50.2,3.8,9.5,1.0,4.8,1.0,not fire,Kolkata
04,8.0,2024.0,24.0,94.0,8.0,23.5,48.0,3.2,8.2,0.8,4.2,0.8,not fire,Kolkata
05,8.0,2024.0,26.0,89.0,11.0,17.2,53.5,4.5,11.2,1.3,5.5,1.3,not fire,Kolkata
01,12.0,2024.0,18.0,75.0,5.0,0.0,65.2,5.8,15.2,1.8,7.8,2.5,not fire,New Delhi
02,12.0,2024.0,17.0,78.0,4.0,0.0,62.8,5.2,14.5,1.5,7.2,2.2,not fire,New Delhi
03,12.0,2024.0,16.0,80.0,3.0,0.0,60.5,4.8,13.8,1.2,6.8,1.8,not fire,New Delhi
04,12.0,2024.0,15.0,82.0,3.0,0.0,58.2,4.5,13.2,1.0,6.5,1.5,not fire,New Delhi
05,12.0,2024.0,17.0,79.0,4.0,0.0,63.5,5.0,14.8,1.4,7.5,2.0,not fire,New Delhi
01,1.0,2024.0,20.0,72.0,6.0,0.0,68.5,6.2,16.8,2.0,8.5,2.8,not fire,Lucknow
02,1.0,2024.0,19.0,74.0,5.0,0.0,66.2,5.8,15.8,1.8,8.0,2.5,not fire,Lucknow
03,1.0,2024.0,18.0,76.0,4.0,0.0,64.0,5.5,15.2,1.5,7.5,2.2,not fire,Lucknow
04,1.0,2024.0,17.0,78.0,4.0,0.0,61.8,5.2,14.5,1.3,7.2,2.0,not fire,Lucknow
05,1.0,2024.0,19.0,73.0,5.0,0.0,67.0,6.0,16.2,1.9,8.2,2.6,not fire,Lucknow
01,2.0,2024.0,28.0,55.0,10.0,0.0,75.8,8.2,22.5,2.8,11.2,4.5,fire,Pune
02,2.0,2024.0,30.0,52.0,12.0,0.0,78.5,9.2,25.2,3.2,12.8,5.2,fire,Pune
03,2.0,2024.0,29.0,54.0,11.0,0.0,77.2,8.8,24.0,3.0,12.2,4.8,fire,Pune
04,2.0,2024.0,27.0,58.0,9.0,0.5,74.5,7.8,21.8,2.5,10.8,4.2,fire,Pune
05,2.0,2024.0,31.0,50.0,13.0,0.0,80.2,9.8,26.8,3.5,13.5,5.8,fire,Pune
01,3.0,2024.0,32.0,48.0,14.0,0.0,82.5,10.5,28.5,3.8,14.2,6.2,fire,Nagpur
02,3.0,2024.0,34.0,45.0,16.0,0.0,85.8,11.8,31.2,4.2,15.8,7.2,fire,Nagpur
03,3.0,2024.0,33.0,47.0,15.0,0.0,84.2,11.2,30.0,4.0,15.2,6.8,fire,Nagpur
04,3.0,2024.0,31.0,50.0,13.0,0.2,81.5,10.2,27.8,3.5,13.8,5.8,fire,Nagpur
05,3.0,2024.0,35.0,42.0,18.0,0.0,88.0,12.5,33.5,4.8,17.2,8.2,fire,Nagpur
01,4.0,2024.0,40.0,35.0,20.0,0.0,92.5,15.8,45.8,7.2,26.5,14.8,fire,Rajasthan
02,4.0,2024.0,42.0,32.0,22.0,0.0,94.2,17.2,48.5,7.8,28.8,16.2,fire,Rajasthan
03,4.0,2024.0,41.0,33.0,21.0,0.0,93.5,16.5,47.2,7.5,27.5,15.5,fire,Rajasthan
04,4.0,2024.0,39.0,38.0,18.0,0.0,91.2,15.2,44.5,6.8,25.8,13.8,fire,Rajasthan
05,4.0,2024.0,43.0,30.0,24.0,0.0,95.5,18.0,50.2,8.2,30.2,17.5,fire,Rajasthan
01,5.0,2024.0,45.0,28.0,25.0,0.0,96.8,18.8,52.5,8.8,32.5,19.2,fire,Gujarat
02,5.0,2024.0,44.0,30.0,23.0,0.0,95.8,18.0,50.8,8.5,31.2,18.2,fire,Gujarat
03,5.0,2024.0,42.0,32.0,21.0,0.0,94.5,17.2,48.2,7.8,28.8,16.5,fire,Gujarat
04,5.0,2024.0,40.0,35.0,19.0,0.0,92.8,16.2,45.5,7.2,26.5,14.8,fire,Gujarat
05,5.0,2024.0,46.0,26.0,26.0,0.0,97.5,19.5,54.2,9.2,34.2,20.5,fire,Gujarat
01,6.0,2024.0,48.0,25.0,28.0,0.0,98.5,20.5,58.5,9.8,38.5,24.5,fire,Telangana
02,6.0,2024.0,47.0,27.0,26.0,0.0,97.8,19.8,56.2,9.5,36.2,22.8,fire,Telangana
03,6.0,2024.0,46.0,28.0,25.0,0.0,97.0,19.2,54.5,9.2,34.8,21.5,fire,Telangana
04,6.0,2024.0,45.0,30.0,24.0,0.0,96.2,18.5,52.8,8.8,33.2,20.2,fire,Telangana
05,6.0,2024.0,49.0,24.0,29.0,0.0,99.2,21.2,60.5,10.2,40.5,26.2,fire,Telangana
01,4.0,2024.0,28.0,65.0,8.0,0.0,72.5,6.5,18.5,2.2,9.5,3.8,fire,Bengaluru
